year,month,day,Breed,ward,bite_type,location_type,geographic_area
2022,7,25,AMER BULLDOG,Beaches-East York,SEVERE,PUBLIC PROPERTY,M4C
2022,7,26,PORT WATER DOG,Toronto-St. Paul's,NON SEVERE,OTHER PRIVATE PROPERTY,M6C
2022,7,26,BORDER COLLIE / LABRADOR RETR,Don Valley North,NON SEVERE,PUBLIC PROPERTY,M2J
2022,7,28,ENG BULLDOG / BOXER,Toronto Centre,NON SEVERE,OTHER PRIVATE PROPERTY,M4X
2022,7,28,BULLMASTIFF,Toronto-Danforth,SEVERE,PUBLIC PROPERTY,M4L
2022,7,31,SIBERIAN HUSKY,York Centre,SEVERE,PUBLIC PROPERTY,M3J
2022,8,4,GERM SHEPHERD MIX,Don Valley West,NON SEVERE,PUBLIC PROPERTY,M2P
2022,8,12,MASTIFF MIX,Scarborough-Rouge Park,SEVERE,PUBLIC PROPERTY,M1B
2022,8,15,RUSSIAN TERRIER,Parkdale-High Park,NON SEVERE,OTHER PRIVATE PROPERTY,L9C
2022,8,22,AMER BULLDOG / BOXER,Toronto Centre,SEVERE,PARK - LEASH FREE AREA,M4X
2022,8,22,AM PIT BULL TER / LABRADOR RETR,Toronto Centre,SEVERE,PARK - LEASH FREE AREA,M4X
2022,8,25,ENG BULLDOG,Don Valley North,NOT A BITE,OTHER PRIVATE PROPERTY,M2J
2022,8,28,SC WHEAT TERR,Scarborough North,SEVERE,OTHER PRIVATE PROPERTY,M1V
2022,8,28,OLDENG SHEEPDOG / POODLE STND,Scarborough-Agincourt,SEVERE,OTHER PRIVATE PROPERTY,M1S
2022,8,29,BORDER COLLIE / AUST CATTLE DOG,Scarborough-Guildwood,SEVERE,OWNERS PROPERTY,M1G
2022,9,4,SIBERIAN HUSKY MIX,Toronto-Danforth,SEVERE,PUBLIC PROPERTY,M4M
2022,9,4,GERM SHEPHERD MIX,Toronto-Danforth,SEVERE,PUBLIC PROPERTY,M4M
2022,9,6,ROTTWEILER / LABRADOR RETR,Spadina-Fort York,NON SEVERE,PARK - LEASH FREE AREA,M5V
2022,9,17,GOLDEN RETR / BASSET HOUND,Don Valley East,SEVERE,PUBLIC PROPERTY,M3B
2022,9,17,OLD ENG BULLDOG,Toronto-Danforth,SEVERE,PUBLIC PROPERTY,M4M
2022,9,26,BULLMASTIFF / PRESA CANARIO,Parkdale-High Park,NON SEVERE,PUBLIC PROPERTY,M6S
2022,10,1,AM PIT BULL TER / ENG BULLDOG,Don Valley West,NON SEVERE,OTHER PRIVATE PROPERTY,M4H
2022,10,5,POODLE STND,York South-Weston,SEVERE,PUBLIC PROPERTY,M6M
2022,10,12,AMER BULLDOG MIX,Beaches-East York,SEVERE,PUBLIC PROPERTY,M4C
2022,10,18,ROTTWEILER / GERM SHEPHERD,Spadina-Fort York,NOT A BITE,OTHER PRIVATE PROPERTY,M5T
2022,10,20,GERM SHEPHERD,Don Valley West,SEVERE,PUBLIC PROPERTY,M2L
2022,10,20,AM PIT BULL TER / ENG BULLDOG,Humber River-Black Creek,SEVERE,PARK - LEASH REQUIRED AREA,M3N
2022,10,23,ROTTWEILER / GERM SHEPHERD,Etobicoke North,SEVERE,OTHER PRIVATE PROPERTY,M9P
2022,10,23,BOXER / MASTIFF,Eglinton-Lawrence,NON SEVERE,PUBLIC PROPERTY,M6B
2022,10,25,GERM SHEPHERD,Don Valley North,NOT A BITE,OTHER PRIVATE PROPERTY,M2J
2022,10,25,PRESA CANARIO,Scarborough-Guildwood,SEVERE,PUBLIC PROPERTY,M1E
2022,10,31,GERM SHEPHERD,Willowdale,SEVERE,PUBLIC PROPERTY,M2N
2022,11,6,ROTTWEILER,Etobicoke-Lakeshore,SEVERE,PUBLIC PROPERTY,M8W
2022,11,8,AM PIT BULL TER / ENG BULLDOG,Scarborough-Agincourt,NON SEVERE,OTHER PRIVATE PROPERTY,M1T
2022,12,4,AM PIT BULL TER / ENG BULLDOG,York Centre,NON SEVERE,PUBLIC PROPERTY,M3M
2022,12,6,GERM SHEPHERD,Don Valley North,NON SEVERE,PARK - LEASH REQUIRED AREA,M2J
2022,12,11,CANE CORSO,Scarborough-Agincourt,SEVERE,PUBLIC PROPERTY,M1W
2022,12,22,LABRADOR RETR,Toronto-Danforth,SEVERE,PUBLIC PROPERTY,M4L
2023,1,5,CANE CORSO / GOLDEN RETR,York South-Weston,SEVERE,OTHER PRIVATE PROPERTY,M6M
2023,1,12,HOUND / BEAGLE,University-Rosedale,SEVERE,PARK - LEASH REQUIRED AREA,M6J
2023,1,17,SPINONE ITAL,Beaches-East York,SEVERE,PARK - LEASH REQUIRED AREA,M4L
2023,2,20,GERM SHEPHERD MIX,Scarborough-Guildwood,SEVERE,PUBLIC PROPERTY,M1H
2023,2,21,GERM SH POINT,Toronto-Danforth,VERY SEVERE,PUBLIC PROPERTY,M4K
2023,2,22,AMER BULLDOG,Toronto Centre,SEVERE,OTHER PRIVATE PROPERTY,M5A
2023,3,9,AMER BULLDOG,Scarborough Southwest,SEVERE,OTHER PRIVATE PROPERTY,M1M
2023,3,27,ROTTWEILER / GERM SHEPHERD,Don Valley East,SEVERE,OTHER PRIVATE PROPERTY,M3C
2023,3,31,GREAT PYRENEES / GOLDEN RETR,Toronto-St. Paul's,NON SEVERE,PUBLIC PROPERTY,M4P
2023,4,8,GERM SHEPHERD,Don Valley North,SEVERE,PUBLIC PROPERTY,M2K
2023,4,13,BULLMASTIFF,Beaches-East York,NON SEVERE,PUBLIC PROPERTY,M4C
2023,4,16,CANE CORSO,Scarborough Centre,NOT A BITE,PUBLIC PROPERTY,M1J
2023,4,20,AMER BULLDOG,York Centre,NOT A BITE,PUBLIC PROPERTY,M3J
2023,4,23,GERM SHEPHERD,Humber River-Black Creek,SEVERE,OTHER PRIVATE PROPERTY,M3J
2023,4,27,AMER BULLDOG,Eglinton-Lawrence,NON SEVERE,PUBLIC PROPERTY,M5M
2023,4,28,PATTERDALE TERR / AM PIT BULL TER,Parkdale-High Park,SEVERE,PUBLIC PROPERTY,M6P
2023,5,1,BORDER COLLIE / LABRADOR RETR,Humber River-Black Creek,NON SEVERE,OTHER PRIVATE PROPERTY,M3L
2023,5,2,LABRADOR RETR / AM PIT BULL TER,Etobicoke Centre,SEVERE,OTHER PRIVATE PROPERTY,M9A
2023,5,2,LABRADOR RETR / AM PIT BULL TER,Etobicoke Centre,SEVERE,OTHER PRIVATE PROPERTY,M9A
2023,5,9,GERM SHEPHERD,University-Rosedale,NON SEVERE,OTHER PRIVATE PROPERTY,M5T
2023,5,11,GERM SHEPHERD / LABRADOR RETR,Beaches-East York,SEVERE,PARK - LEASH REQUIRED AREA,M4L
2023,5,14,GOLDEN RETR / POODLE STND,Toronto-Danforth,SEVERE,PUBLIC PROPERTY,M4J
2023,5,23,AMER BULLDOG,Etobicoke North,SEVERE,OTHER PRIVATE PROPERTY,M9R
2023,6,4,GERM SHEPHERD MIX,Scarborough Southwest,SEVERE,PUBLIC PROPERTY,M1K
2023,6,6,FILA,Scarborough-Agincourt,NOT A BITE,PUBLIC PROPERTY,M1W
2023,6,14,AMER BULLDOG,York Centre,NON SEVERE,PUBLIC PROPERTY,M3J
2023,6,18,AUST SHEPHERD,Toronto-Danforth,NON SEVERE,PARK - LEASH REQUIRED AREA,M4J
2023,6,21,POODLE STND / GOLDEN RETR,Eglinton-Lawrence,SEVERE,PUBLIC PROPERTY,M6B
2023,6,23,AM PIT BULL TER / LABRADOR RETR,Toronto-St. Paul's,SEVERE,PUBLIC PROPERTY,M4S
2023,6,25,MASTIFF,Scarborough Centre,SEVERE,OTHER PRIVATE PROPERTY,M1R
2023,6,25,GOLDEN RETR,Davenport,SEVERE,PUBLIC PROPERTY,M6H
2023,6,28,LABRADOR RETR / AMER BULLDOG,Scarborough-Guildwood,SEVERE,PUBLIC PROPERTY,M1G
2023,6,28,BELG MALINOIS / DUTCH SHEPHERD,Scarborough-Guildwood,SEVERE,PUBLIC PROPERTY,M1G
2023,6,28,SIBERIAN HUSKY MIX,Scarborough-Guildwood,SEVERE,PUBLIC PROPERTY,M1G
2023,6,29,BULLDOG MIX,Toronto-St. Paul's,SEVERE,PARK - LEASH REQUIRED AREA,M6G
2023,6,29,AMER BULLDOG MIX,Don Valley East,VERY SEVERE,OTHER PRIVATE PROPERTY,M3A
2023,6,29,PRESA CANARIO,Don Valley East,VERY SEVERE,OTHER PRIVATE PROPERTY,M3A
2023,6,30,LABRADOR RETR,Scarborough Southwest,SEVERE,PARK - LEASH REQUIRED AREA,M1M
2023,7,3,ENG BULLDOG / AM PIT BULL TER,Etobicoke Centre,NOT A BITE,PARK - LEASH REQUIRED AREA,M9C
2023,7,4,PRESA CANARIO,Don Valley East,SEVERE,OTHER PRIVATE PROPERTY,M3A
2023,7,7,GERM SHEPHERD,Scarborough Southwest,NON SEVERE,PUBLIC PROPERTY,M1N
2023,7,7,CANE CORSO,Etobicoke-Lakeshore,NON SEVERE,OTHER PRIVATE PROPERTY,M8W
2023,7,10,BOXER,Scarborough-Rouge Park,NOT A BITE,PARK - LEASH REQUIRED AREA,M1C
2023,7,18,ROTTWEILER / GERM SHEPHERD,Toronto-Danforth,NON SEVERE,PUBLIC PROPERTY,M4K
2023,7,18,BORDER COLLIE,Willowdale,NOT A BITE,OTHER PRIVATE PROPERTY,M2M
2023,7,18,ROTTWEILER MIX,Toronto-Danforth,NON SEVERE,PUBLIC PROPERTY,M4K
2023,7,25,MASTIFF / ROTTWEILER,Scarborough Southwest,NOT A BITE,PUBLIC PROPERTY,M1L
2023,7,30,BULL TERRIER,Parkdale-High Park,SEVERE,PARK - LEASH REQUIRED AREA,M6S
2023,8,1,LABRADOR RETR / JINDO,Parkdale-High Park,SEVERE,PUBLIC PROPERTY,M6R
2017,2,21,LABRADOR RETR / RHOD RIDGEBACK,Davenport,SEVERE,PARK - LEASH FREE AREA,M6E
2023,8,2,AMER BULLDOG / CHOW CHOW,Scarborough North,VERY SEVERE,PARK - LEASH REQUIRED AREA,M1S
2023,8,2,AMER BULLDOG / CHOW CHOW,Scarborough North,SEVERE,PARK - LEASH REQUIRED AREA,M1S
2023,8,12,BERNESE MTN DOG / POODLE STND,Scarborough-Rouge Park,SEVERE,PUBLIC PROPERTY,M1E
2023,8,14,REDBONE HOUND,Toronto-Danforth,NON SEVERE,PUBLIC PROPERTY,M4J
2023,8,16,GOLDEN RETR / POODLE TOY,University-Rosedale,NOT A BITE,PUBLIC PROPERTY,M5S
2023,8,20,AMER BULLDOG / MASTIFF,Don Valley East,VERY SEVERE,OTHER PRIVATE PROPERTY,M3C
2023,8,28,POODLE STND / BELG MALINOIS,Davenport,SEVERE,PUBLIC PROPERTY,M6C
2023,9,1,LABRADOR RETR,York Centre,SEVERE,PARK - LEASH REQUIRED AREA,M3H
2023,9,1,GERM SHEPHERD / SIBERIAN HUSKY,Scarborough-Guildwood,NOT A BITE,PUBLIC PROPERTY,M1E
2023,9,4,AMER BULLDOG MIX,Scarborough Southwest,SEVERE,PUBLIC PROPERTY,M1L
2023,9,7,MASTIFF MIX,Etobicoke-Lakeshore,NON SEVERE,PUBLIC PROPERTY,M8W
2023,9,10,AUST SHEPHERD,Toronto-St. Paul's,SEVERE,OTHER PRIVATE PROPERTY,M6G
2023,9,10,GOLDEN RETR,Scarborough Southwest,SEVERE,PUBLIC PROPERTY,M1M
2023,9,16,AMER BULLDOG MIX,Etobicoke-Lakeshore,SEVERE,OTHER PRIVATE PROPERTY,M8W
2023,9,16,AMER BULLDOG / CHINESE SHARPEI,York South-Weston,NON SEVERE,OTHER PRIVATE PROPERTY,M6M
2023,9,26,AUST CATTLE DOG / ROTTWEILER,Toronto-St. Paul's,SEVERE,PUBLIC PROPERTY,M5P
2023,10,3,SIBERIAN HUSKY,Don Valley East,SEVERE,PUBLIC PROPERTY,M3A
2023,10,7,AMER BULLDOG,Etobicoke Centre,SEVERE,PUBLIC PROPERTY,M9C
2023,10,9,GERM SHEPHERD / LABRADOR RETR,Scarborough-Guildwood,SEVERE,OTHER PRIVATE PROPERTY,M1E
2023,10,12,ALASKAN HUSKY,Toronto-St. Paul's,NON SEVERE,PUBLIC PROPERTY,M4S
2023,10,13,GOLDEN RETR,Etobicoke Centre,NON SEVERE,OTHER PRIVATE PROPERTY,M9B
2023,10,20,AMER BULLDOG / AMERICAN STAFF,University-Rosedale,NON SEVERE,OTHER PRIVATE PROPERTY,M5R
2023,10,27,ROTTWEILER,Spadina-Fort York,SEVERE,PARK - LEASH REQUIRED AREA,M5V
2023,10,29,PARSON RUSS TER / SHIH TZU,York South-Weston,NOT A BITE,PUBLIC PROPERTY,M6M
2023,11,5,LABRADOR RETR / BOXER,Beaches-East York,SEVERE,PUBLIC PROPERTY,M4C
2023,11,7,LABRADOR RETR / AM PIT BULL TER,Scarborough-Agincourt,NOT A BITE,PUBLIC PROPERTY,M1T
2023,11,15,ROTTWEILER / LABRADOR RETR,Scarborough Southwest,NON SEVERE,PUBLIC PROPERTY,M1K
2023,11,24,GERM SHEPHERD,Etobicoke North,SEVERE,OWNERS PROPERTY,M9R
2023,11,26,GERM SHEPHERD / COLLIE SMOOTH,Eglinton-Lawrence,SEVERE,PUBLIC PROPERTY,M6A
2023,11,26,LABRADOR RETR,Don Valley East,NOT A BITE,PUBLIC PROPERTY,M3C
2023,11,28,CANE CORSO MIX,Spadina-Fort York,NON SEVERE,PARK - LEASH FREE AREA,M6J
2023,12,7,BOXER / DOGO ARGENTINO,Humber River-Black Creek,NOT A BITE,OTHER PRIVATE PROPERTY,M3L
2023,12,11,AM PIT BULL TER / ENG BULLDOG,Etobicoke Centre,NON SEVERE,PUBLIC PROPERTY,M9P
2023,12,15,SIBERIAN HUSKY MIX,Beaches-East York,SEVERE,PUBLIC PROPERTY,M4B
2023,12,17,ROTTWEILER,Etobicoke-Lakeshore,NOT A BITE,OTHER PRIVATE PROPERTY,M8Y
2023,12,31,AMER BULLDOG / STAFFORDSHIRE,Don Valley North,SEVERE,OWNERS PROPERTY,M2H
2023,12,31,ROTTWEILER,Toronto-Danforth,NON SEVERE,PUBLIC PROPERTY,M4L
2024,1,9,ROTTWEILER,Etobicoke North,SEVERE,OTHER PRIVATE PROPERTY,M9V
2024,1,20,GOLDEN RETR / AM PIT BULL TER,University-Rosedale,SEVERE,PUBLIC PROPERTY,M6G
2024,1,27,ROTTWEILER,Davenport,NON SEVERE,PUBLIC PROPERTY,M6J
2024,1,28,BORDER COLLIE,Spadina-Fort York,NON SEVERE,PUBLIC PROPERTY,M5A
2024,2,3,BOXER / STAFFORDSHIRE,Don Valley East,SEVERE,OTHER PRIVATE PROPERTY,M4A
2024,2,3,LABRADOR RETR / STAFFORDSHIRE,Don Valley East,NON SEVERE,OTHER PRIVATE PROPERTY,M4A
2023,8,2,AMER BULLDOG / CHOW CHOW,Scarborough North,SEVERE,PARK - LEASH REQUIRED AREA,M1S
2024,2,7,GERM SHEPHERD MIX,Toronto-St. Paul's,NOT A BITE,PARK - LEASH REQUIRED AREA,M4S
2024,2,12,MASTIFF,Etobicoke Centre,SEVERE,PARK - LEASH REQUIRED AREA,M9C
2024,2,17,BELG MALINOIS,Toronto-St. Paul's,SEVERE,PARK - LEASH FREE AREA,M5P
2024,2,20,AMER BULLDOG MIX,Beaches-East York,SEVERE,OTHER PRIVATE PROPERTY,M4E
2024,3,3,SAMOYED,Spadina-Fort York,NON SEVERE,PARK - LEASH REQUIRED AREA,M6J
2024,3,10,AMER BULLDOG,Beaches-East York,NOT A BITE,PUBLIC PROPERTY,M4L
2024,3,15,AMER BULLDOG / BOXER,Toronto-Danforth,SEVERE,PUBLIC PROPERTY,M4L
2024,3,24,AMER BULLDOG,Etobicoke Centre,SEVERE,PUBLIC PROPERTY,M9A
2024,3,28,BERNESE MTN DOG / AMER BULLDOG,Etobicoke North,NON SEVERE,OTHER PRIVATE PROPERTY,M9P
2024,4,13,GERM SHEPHERD,Beaches-East York,SEVERE,OWNERS PROPERTY,M4L
2024,4,30,LABRADOR RETR / AMER BULLDOG,Etobicoke Centre,SEVERE,PUBLIC PROPERTY,M9C
2024,5,1,STAFFORDSHIRE MIX,Parkdale-High Park,SEVERE,OTHER PRIVATE PROPERTY,M6K
2024,5,4,GERM SHEPHERD,Etobicoke Centre,VERY SEVERE,PUBLIC PROPERTY,M9C
2024,5,4,AMER BULLDOG,Eglinton-Lawrence,SEVERE,PARK - LEASH REQUIRED AREA,M6B
2024,5,6,DOBERMAN PINSCH,Etobicoke Centre,SEVERE,PUBLIC PROPERTY,M9P
2024,5,7,AMER BULLDOG,York South-Weston,VERY SEVERE,OTHER PRIVATE PROPERTY,M9N
2024,5,16,AMER BULLDOG / ENG BULLDOG,Scarborough North,NON SEVERE,PARK - LEASH REQUIRED AREA,M1B
2024,5,21,MASTIFF MIX,Scarborough-Rouge Park,SEVERE,PUBLIC PROPERTY,M1C
2024,5,21,AMER BULLDOG,Scarborough-Rouge Park,SEVERE,PUBLIC PROPERTY,M1C
2024,5,23,ROTTWEILER MIX,Parkdale-High Park,SEVERE,OTHER PRIVATE PROPERTY,M6S
2024,5,27,AM PIT BULL TER / ENG BULLDOG,Eglinton-Lawrence,SEVERE,PUBLIC PROPERTY,M6B
2024,6,1,AMER BULLDOG,Spadina-Fort York,NON SEVERE,PARK - LEASH FREE AREA,M6K
2024,6,1,GERM SHEPHERD MIX,Scarborough-Rouge Park,SEVERE,PUBLIC PROPERTY,M1E
2024,6,2,AMER BULLDOG,University-Rosedale,SEVERE,PUBLIC PROPERTY,M6G
2024,6,6,BERNESE MTN DOG / POODLE STND,Don Valley West,NON SEVERE,PUBLIC PROPERTY,M4N
2024,6,12,AMER BULLDOG,Scarborough Southwest,NON SEVERE,PARK - LEASH REQUIRED AREA,M1N
2024,6,19,AMER BULLDOG / LABRADOR RETR,Scarborough-Agincourt,NON SEVERE,OTHER PRIVATE PROPERTY,M1T
2024,6,24,AMER BULLDOG,Davenport,SEVERE,OTHER PRIVATE PROPERTY,M6J
2024,6,28,UNKNOWN,No Ward Info,NON SEVERE,OTHER PRIVATE PROPERTY,No FSA Info
2024,7,1,RHOD RIDGEBACK / AMER BULLDOG,Etobicoke North,SEVERE,PUBLIC PROPERTY,M9W
2024,7,5,SIBERIAN HUSKY MIX,Eglinton-Lawrence,SEVERE,OWNERS PROPERTY,M5M
2024,7,6,GERM SHEPHERD,Etobicoke Centre,NON SEVERE,PUBLIC PROPERTY,M9R
2024,7,7,AMER BULLDOG / ENG BULLDOG,Scarborough-Rouge Park,NON SEVERE,OTHER PRIVATE PROPERTY,M1E
2024,7,15,GERM SHEPHERD,Scarborough Southwest,NON SEVERE,OTHER PRIVATE PROPERTY,M1M
2024,7,22,BULL TERRIER,Etobicoke-Lakeshore,NON SEVERE,PUBLIC PROPERTY,M8X
2024,7,25,MALTESE,Scarborough-Agincourt,NON SEVERE,PUBLIC PROPERTY,M1V
2024,8,6,BULLMASTIFF / AMER BULLDOG,Scarborough Southwest,SEVERE,PUBLIC PROPERTY,M1N
2024,8,11,GREAT DANE / PRESA CANARIO,Scarborough-Rouge Park,SEVERE,PUBLIC PROPERTY,M1E
2024,8,12,IRISH WOLFHOUND,Don Valley North,SEVERE,PUBLIC PROPERTY,M2J
2024,8,13,AMER BULLDOG / AMERICAN STAFF,Scarborough Centre,NON SEVERE,PUBLIC PROPERTY,M1R
2024,9,14,GERM SHEPHERD,Don Valley North,NON SEVERE,PUBLIC PROPERTY,M2H
2024,9,14,GERM SHEPHERD,Don Valley North,NON SEVERE,PUBLIC PROPERTY,M2H
2024,9,14,GERM SHEPHERD,Don Valley North,NON SEVERE,PUBLIC PROPERTY,M2H
2024,2,5,AM PIT BULL TER / ENG BULLDOG,Scarborough-Agincourt,NOT A BITE,OTHER PRIVATE PROPERTY,M1W
